No,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1,2.7,3.222222222,2.75,3.444444444,3.875
2,3.3,2.666666667,2.5,4.111111111,3.75
3,3.6,2.777777778,3.5,3.666666667,2.875
5,2.8,3.777777778,4.125,4.333333333,2.375
6,2.9,3.444444444,3.5,3.555555556,2.5
7,4.4,4.111111111,4.125,4.444444444,2
8,3.9,2.666666667,3.25,3.333333333,2.25
9,3,2.444444444,2.25,3.666666667,3.25
10,2.7,2.111111111,2,3.666666667,4.125
11,4.8,3.444444444,3.5,3.111111111,3.375
13,3.8,3.888888889,2.75,3.888888889,2.625
14,4.1,3.666666667,2.75,3.777777778,2.125
15,3.5,3.444444444,3.25,3.666666667,2.5
16,4.3,4,4.625,3.333333333,3
17,3.4,3.444444444,3.625,4.222222222,2.5
18,2.9,2.444444444,2.375,3.666666667,2.5
19,4.3,2.555555556,2.125,3.222222222,3.875
20,2.4,2.888888889,2.5,4,3.25
21,3.7,2.777777778,2.625,3.777777778,3.625
22,3.9,3.222222222,4.125,4.111111111,2
23,3.7,3.777777778,3.75,3.333333333,2.125
24,4.2,3.555555556,3.25,3.888888889,3.25
25,3.4,3.555555556,2.875,4.333333333,3.5
26,4.5,3.222222222,3.875,3.555555556,1.625
27,4,2.888888889,2.125,3,3.875
28,3.2,2.666666667,2.5,3.888888889,2.875
29,3.2,2.888888889,3,3.555555556,3
30,3.6,3,3,3.111111111,3.625
31,4.5,2.222222222,3.625,4,3.75
32,3.3,3.111111111,3.25,3.444444444,3.25
33,3,2.444444444,3.75,3.333333333,2.875
35,4.1,4,3.625,3.666666667,3.125
36,2.1,2.777777778,2.125,4.111111111,2.5
38,3.3,3.555555556,2.875,4.333333333,3.25
39,3.5,3.333333333,2.5,4.111111111,2.875
40,3.1,3.222222222,2.25,3.666666667,2.5
41,3.2,3.777777778,3.625,3.666666667,2.5
42,3.1,3.444444444,2.75,3.888888889,2.875
44,2.5,2.555555556,2.625,4.111111111,2.5
45,3.6,3.333333333,4.25,4.555555556,2.75
46,3.5,2.666666667,3.375,3.666666667,3.5
47,2.9,2.666666667,3.125,3.666666667,3.25